model,domain,raw_auc,best_auc,best_method,gain
clip,forensynths_test,0.9726784957420488,0.9765895221155616,zscore,0.003911026373512816
clip,9gan,0.9939780648148148,0.9958060169753088,lda,0.0018279521604940285
clip,diffusion,0.958003234375,0.958246671875,zscore,0.00024343749999999886
dinov2,forensynths_test,0.9059494427772232,0.9161641042968308,lda,0.010214661519607593
dinov2,9gan,0.9195984027777778,0.9631503796296296,lda,0.04355197685185175
dinov2,diffusion,0.8945769531249999,0.911969265625,lda,0.017392312500000173
mae,forensynths_test,0.8443937040422588,0.8607733523123364,zscore,0.01637964827007765
mae,9gan,0.8856202777777777,0.9039407947530864,lda,0.018320516975308676
mae,diffusion,0.8224119999999999,0.814203140625,lda,-0.008208859374999933
vit,forensynths_test,0.7444461195743077,0.7598957287984858,zscore,0.01544960922417804
vit,9gan,0.7660721481481481,0.8063047206790124,lda,0.04023257253086432
vit,diffusion,0.631812265625,0.6455678515625001,lda,0.013755585937500037
