model,domain,method,auc,ap,acc,f1
clip,forensynths_test,raw,0.9726784957420487,0.9756089635580038,0.880167088689257,0.8662658843010907
clip,forensynths_test,zscore,0.9765895221155615,0.9794461006067525,0.8820540941567343,0.8674773027925267
clip,forensynths_test,pca,0.9689357486120942,0.9732751702103271,0.8562005064271083,0.8334454158260479
clip,forensynths_test,whiten,0.9727261789536198,0.9762389503713533,0.8632001677338194,0.8430770369274032
clip,forensynths_test,lda,0.9719132955857959,0.9746002111231453,0.866538715868587,0.8481846368356358
clip,9gan,raw,0.9939780648148149,0.9948683997722916,0.9513333333333334,0.9528449157560425
clip,9gan,zscore,0.9905892438271604,0.9922589221062752,0.9311666666666667,0.9343297821593258
clip,9gan,pca,0.989897462962963,0.9919294982620331,0.952,0.9525561473834495
clip,9gan,whiten,0.9890249166666666,0.9908273188482575,0.9539722222222222,0.9541847540575663
clip,9gan,lda,0.9958060169753087,0.9963910827253419,0.9676944444444444,0.9682578672998717
clip,diffusion,raw,0.958003234375,0.962854483553442,0.8413125,0.8160278240707195
clip,diffusion,zscore,0.958246671875,0.9638178837571052,0.79025,0.7360805284680717
clip,diffusion,pca,0.939925578125,0.9462250299685466,0.75525,0.6799084518554848
clip,diffusion,whiten,0.94371628125,0.9497220606993031,0.771625,0.7075864276568502
clip,diffusion,lda,0.940897140625,0.9476432676133294,0.818,0.7831074035453598
dinov2,forensynths_test,raw,0.9059494427772233,0.9121943190139828,0.7889456961759915,0.7519147645408357
dinov2,forensynths_test,zscore,0.9102403038876836,0.933697443970861,0.7798332338757802,0.7208784018647637
dinov2,forensynths_test,pca,0.8911573313309242,0.9189228685537176,0.7399319387771559,0.6507850568489443
dinov2,forensynths_test,whiten,0.891092242935554,0.9189157967198265,0.7389965001693466,0.6490577494415891
dinov2,forensynths_test,lda,0.9161641042968307,0.9355624435629564,0.7947679950970115,0.7448212244570558
dinov2,9gan,raw,0.9195984027777778,0.9252113876175101,0.7917777777777778,0.8189197023867041
dinov2,9gan,zscore,0.9608595339506172,0.9647024564913531,0.8693888888888889,0.8546252782587188
dinov2,9gan,pca,0.9511860216049383,0.9555688914719295,0.7258888888888889,0.6243051854107973
dinov2,9gan,whiten,0.9510073209876544,0.9553799174602048,0.7217777777777777,0.6163040147103892
dinov2,9gan,lda,0.9631503796296297,0.9670310347851618,0.8950277777777778,0.8897640092179341
dinov2,diffusion,raw,0.8945769531249999,0.9003530705731032,0.8045625,0.7862464966846674
dinov2,diffusion,zscore,0.9060971718749999,0.9131842341806714,0.7270625,0.6338559570721891
dinov2,diffusion,pca,0.888949953125,0.8957753171930065,0.725375,0.6341382181515404
dinov2,diffusion,whiten,0.88860815625,0.8954164321951448,0.7215625,0.6262270324691669
dinov2,diffusion,lda,0.911969265625,0.9126867823648628,0.7554375,0.6878838637632607
mae,forensynths_test,raw,0.8443937040422588,0.8665153136407079,0.7197716239536797,0.6279044865617304
mae,forensynths_test,zscore,0.8607733523123364,0.8823951898550504,0.7342870506265826,0.6520223888478192
mae,forensynths_test,pca,0.7654833765085176,0.7964750160537867,0.6695321194135767,0.5430826866470431
mae,forensynths_test,whiten,0.7654865843146902,0.7964799896063106,0.6695482476654355,0.5431151744899096
mae,forensynths_test,lda,0.8578160723683237,0.8810841040259767,0.7401577343031789,0.6648359649670266
mae,9gan,raw,0.8856202777777777,0.878122593386146,0.612,0.37642857142857145
mae,9gan,zscore,0.8984830895061728,0.8935336080836569,0.6839166666666666,0.5528001572018079
mae,9gan,pca,0.810397512345679,0.7908225911114186,0.5290555555555555,0.11753070997293358
mae,9gan,whiten,0.8104035771604938,0.790831479586168,0.5290555555555555,0.11753070997293358
mae,9gan,lda,0.9039407947530864,0.8999659125222125,0.71,0.6077547339945897
mae,diffusion,raw,0.8224119999999999,0.8362410123042282,0.6476875,0.47509079057640374
mae,diffusion,zscore,0.8126557031249999,0.8293117879551932,0.6433125,0.4634765441383849
mae,diffusion,pca,0.8020789375,0.8069942998001274,0.6449375,0.47952359138799816
mae,diffusion,whiten,0.8020820937500001,0.8069977871562186,0.6449375,0.47952359138799816
mae,diffusion,lda,0.814203140625,0.8314366409848704,0.6525625,0.4858966059372977
vit,forensynths_test,raw,0.7444461195743077,0.7636148507207718,0.6393884166895151,0.48577539615004256
vit,forensynths_test,zscore,0.7598957287984858,0.775521353567426,0.647855748915375,0.5040207169142701
vit,forensynths_test,pca,0.7004280882367322,0.7134483654194843,0.6106317436253085,0.44858617696770364
vit,forensynths_test,whiten,0.7004293909202638,0.7134483892570096,0.6105672306178733,0.44849481522086704
vit,forensynths_test,lda,0.750382041599384,0.7715188778455155,0.6471138493298711,0.5043269448597707
vit,9gan,raw,0.7660721481481481,0.766137823359434,0.6063055555555555,0.3929932759432952
vit,9gan,zscore,0.7884691327160495,0.7870039622847281,0.6205555555555555,0.4286431320060231
vit,9gan,pca,0.7033521697530865,0.708965213422836,0.5783611111111111,0.3182573545924096
vit,9gan,whiten,0.7033539722222222,0.7089650041235281,0.5783333333333334,0.3181818181818182
vit,9gan,lda,0.8063047206790124,0.8031929405102459,0.6360833333333333,0.46533077582336857
vit,diffusion,raw,0.631812265625,0.6341101192701941,0.5641875,0.3150967488458894
vit,diffusion,zscore,0.630081125,0.6298031821126867,0.564875,0.34837139648071885
vit,diffusion,pca,0.629960015625,0.615433462301348,0.5641875,0.3800124477638481
vit,diffusion,whiten,0.629960453125,0.6154288925619658,0.5640625,0.3797243219208537
vit,diffusion,lda,0.6455678515625001,0.6374990430541111,0.561,0.3279755070799847
