model,domain,lda,pca,raw,whiten,zscore
clip,9gan,0.9958060169753087,0.989897462962963,0.9939780648148149,0.9890249166666666,0.9905892438271604
clip,diffusion,0.940897140625,0.939925578125,0.958003234375,0.94371628125,0.958246671875
clip,forensynths_test,0.9719132955857959,0.9689357486120942,0.9726784957420487,0.9727261789536198,0.9765895221155615
dinov2,9gan,0.9631503796296297,0.9511860216049383,0.9195984027777778,0.9510073209876544,0.9608595339506172
dinov2,diffusion,0.911969265625,0.888949953125,0.8945769531249999,0.88860815625,0.9060971718749999
dinov2,forensynths_test,0.9161641042968307,0.8911573313309242,0.9059494427772233,0.891092242935554,0.9102403038876836
mae,9gan,0.9039407947530864,0.810397512345679,0.8856202777777777,0.8104035771604938,0.8984830895061728
mae,diffusion,0.814203140625,0.8020789375,0.8224119999999999,0.8020820937500001,0.8126557031249999
mae,forensynths_test,0.8578160723683237,0.7654833765085176,0.8443937040422588,0.7654865843146902,0.8607733523123364
vit,9gan,0.8063047206790124,0.7033521697530865,0.7660721481481481,0.7033539722222222,0.7884691327160495
vit,diffusion,0.6455678515625001,0.629960015625,0.631812265625,0.629960453125,0.630081125
vit,forensynths_test,0.750382041599384,0.7004280882367322,0.7444461195743077,0.7004293909202638,0.7598957287984858
