model,domain,frozen_linear,frozen_mlp,gap_auc,acc_mean,macro_f1_mean
clip,9gan,0.994,0.9939,-9.9999999999989e-05,0.964,0.964063569335965
clip,diffusion,0.8985,0.8889,-0.0095999999999999,0.5184166666666667,0.5228380922902003
clip,forensynths_test,0.9756,0.9796,0.004,0.9838279569892472,0.985708927018638
dinov2,9gan,0.8586,0.8845,0.0258999999999999,0.922111111111111,0.9222609975963172
dinov2,forensynths_test,0.9042,0.9314,0.0272,0.94894623655914,0.9477251737333464
mae,9gan,0.8909,0.9048,0.0139,0.9565185185185184,0.956467932736302
mae,diffusion,0.8742,0.8639,-0.0102999999999999,0.5065833333333334,0.5087282705337497
mae,forensynths_test,0.8652,0.8997,0.0345,0.9583655913978496,0.9624234450637056
vit,9gan,0.7446,0.7433,-0.0013,0.9308148148148148,0.9309285609348674
vit,forensynths_test,0.7756,0.7966,0.021,0.9581720430107528,0.9613203569148344
