model,domain,k,num_axes,auc,ap,acc,f1,frac_of_full_auc
clip,forensynths_test,all,128,0.9689357506930583,0.9732751717459119,0.8562005064271083,0.8334454158260479,
clip,9gan,all,128,0.9898974629629629,0.991929498262033,0.952,0.9525561473834495,
clip,diffusion,all,128,0.939925578125,0.9462250299685466,0.75525,0.6799084518554848,
clip,forensynths_test,1,1,0.8107308794186993,0.8666647430458028,0.7760430946889667,0.7373557783241914,0.8367230529359676
clip,9gan,1,1,0.9787040833333333,0.9854675811207395,0.8730555555555556,0.8840219267079484,0.9886923847686956
clip,diffusion,1,1,0.8415112812500001,0.8669592083080613,0.712,0.6104159621237741,0.8952956498201479
clip,forensynths_test,2,2,0.8639261128222452,0.8992000824710635,0.8022031192039095,0.7724844167408726,0.8916237348083172
clip,9gan,2,2,0.9808177438271605,0.9871358312674186,0.8481944444444445,0.8651449722393584,0.9908276165203768
clip,diffusion,2,2,0.883913078125,0.9041276283115909,0.7675,0.7080979284369114,0.9404075159740456
clip,forensynths_test,4,4,0.8628180223253362,0.9011020960038023,0.8107833491927809,0.7785328651791444,0.8904801187366465
clip,9gan,4,4,0.9817310339506173,0.9875337271055313,0.8932777777777777,0.9010303967027306,0.9917502273539506
clip,diffusion,4,4,0.923888109375,0.9417427964166072,0.828375,0.7972533963378617,0.9829375121570878
clip,forensynths_test,8,8,0.9386277570383924,0.9512617963629438,0.819621631211393,0.7811093279054292,0.9687203267781304
clip,9gan,8,8,0.9877865061728396,0.9907294274130615,0.9618055555555556,0.9609363902383591,0.997867499545049
clip,diffusion,8,8,0.932137078125,0.9426927804341151,0.65675,0.4780459988595324,0.9917137056579131
clip,forensynths_test,16,16,0.9547333100805017,0.9615626899500314,0.8136057932680677,0.7715330631610161,0.9853422266621932
clip,9gan,16,16,0.9888641913580246,0.9914729887900725,0.9619444444444445,0.9611148955495005,0.9989561831971511
clip,diffusion,16,16,0.930940125,0.9394914442263502,0.6729375,0.5154180942679878,0.9904402504473551
clip,forensynths_test,32,32,0.9476185052405263,0.9561208585241947,0.8314920245794558,0.7989454643420698,0.9779993199370709
clip,9gan,32,32,0.9886354413580246,0.991462757828957,0.9433611111111111,0.9449052933070334,0.9987250986570257
clip,diffusion,32,32,0.9218814531249999,0.9315293766081301,0.7226875,0.6190435305228814,0.9808026024400834
clip,forensynths_test,64,64,0.9619269262336575,0.9683596037879738,0.8597164653323226,0.8382790420943032,0.9927664714049538
clip,9gan,64,64,0.9881817932098766,0.9903459894325335,0.9465833333333333,0.947674893200185,0.9982668207392401
clip,diffusion,64,64,0.934980578125,0.9411893224082927,0.7571875,0.6832966495475666,0.9947389451728035
dinov2,forensynths_test,all,128,0.8911572272827188,0.9189227861255911,0.7399319387771559,0.6507850568489443,
dinov2,9gan,all,128,0.9511858919753087,0.9555687982376857,0.7258888888888889,0.6243051854107973,
dinov2,diffusion,all,128,0.888950203125,0.8957757526342889,0.725375,0.6341382181515404,
dinov2,forensynths_test,1,1,0.6642107521913005,0.732483005596082,0.6599035530538845,0.5677387614537851,0.7453350899892105
dinov2,9gan,1,1,0.8553603981481481,0.8623974101395829,0.7138888888888889,0.6267033922876196,0.8992568175836149
dinov2,diffusion,1,1,0.77729659375,0.8080367692449157,0.7118125,0.7114698704711845,0.8743983532682768
dinov2,forensynths_test,2,2,0.7404611440602529,0.7856066313991483,0.682692772930342,0.5954349167180752,0.8308984333977042
dinov2,9gan,2,2,0.8796096327160493,0.8815633390016236,0.7201388888888889,0.6332763076475084,0.9247505036995257
dinov2,diffusion,2,2,0.7903963437499999,0.8053356397678086,0.7215,0.7022584524923159,0.8891345555369181
dinov2,forensynths_test,4,4,0.8079773856885786,0.8331292057286889,0.7219166814508975,0.6434656741108354,0.9066608685340869
dinov2,9gan,4,4,0.9396072283950617,0.9475859275343623,0.8230833333333333,0.7892943394978,0.9878271285582235
dinov2,diffusion,4,4,0.749331296875,0.728636366544578,0.678375,0.6494550408719346,0.8429395642644705
dinov2,forensynths_test,8,8,0.8318934410864317,0.8610915301407374,0.7323194038998113,0.6515504608343305,0.9334979458372437
dinov2,9gan,8,8,0.9535711450617284,0.9603011205473714,0.8740555555555556,0.8609287773756211,1.0025076623891742
dinov2,diffusion,8,8,0.7718582812499999,0.7679753974418435,0.6904375,0.6794382240631675,0.8682806736942327
dinov2,forensynths_test,16,16,0.8651453163977011,0.889613912378682,0.7187716723384352,0.6165416840762651,0.970811086878202
dinov2,9gan,16,16,0.9520363209876543,0.9587120570701325,0.7198611111111111,0.6119512101273615,1.0008940723569602
dinov2,diffusion,16,16,0.81798665625,0.8162924231684098,0.7035,0.6255722178374112,0.9201715162159411
dinov2,forensynths_test,32,32,0.8807371397495023,0.9109633317275959,0.7478992951953938,0.6670217071767889,0.9883072400534875
