model,domain,1,2,4,8,16,32,64,all
clip,9gan,0.9787040833333333,0.9808177438271605,0.9817310339506173,0.9877865061728396,0.9888641913580246,0.9886354413580246,0.9881817932098766,0.9898974629629629
clip,diffusion,0.8415112812500001,0.883913078125,0.923888109375,0.932137078125,0.930940125,0.9218814531249999,0.934980578125,0.939925578125
clip,forensynths_test,0.8107308794186993,0.8639261128222452,0.8628180223253362,0.9386277570383924,0.9547333100805017,0.9476185052405263,0.9619269262336575,0.9689357506930583
dinov2,9gan,0.8553603981481481,0.8796096327160493,0.9396072283950617,0.9535711450617284,0.9520363209876543,0.9410699598765431,0.9513862160493827,0.9511858919753087
dinov2,diffusion,0.77729659375,0.7903963437499999,0.749331296875,0.7718582812499999,0.81798665625,0.855109828125,0.8823359375000001,0.888950203125
dinov2,forensynths_test,0.6642107521913005,0.7404611440602529,0.8079773856885786,0.8318934410864317,0.8651453163977011,0.8807371397495023,0.8929460281918903,0.8911572272827188
mae,9gan,0.6351018533950616,0.6436201820987655,0.6670095462962964,0.6920365555555555,0.7212921728395063,0.7576171296296297,0.8073352098765432,0.810397512345679
mae,diffusion,0.6617945781250001,0.638482171875,0.711463296875,0.719981484375,0.7060253124999999,0.798008703125,0.8156826562499999,0.8020789375
mae,forensynths_test,0.5812918416461811,0.5903725514874273,0.6381682589375104,0.6670799506472727,0.6904993246532727,0.7317472889423304,0.7592221883480572,0.7654833765085176
vit,9gan,0.6299275648148148,0.6584399475308642,0.6761035648148148,0.6541326388888888,0.7020958672839506,0.7218009074074074,0.7446817716049383,0.7033521697530865
vit,diffusion,0.6457810156249999,0.6473871875,0.6850891406249999,0.6864152499999999,0.67572884375,0.647043328125,0.638328609375,0.629960015625
vit,forensynths_test,0.5465869804884289,0.5723667026006856,0.5587644546966424,0.6227420626405116,0.6460696921413999,0.6638911051792489,0.7003754544115484,0.7004280882367321
