model,domain,1,2,4,8,16,32,64,all
clip,9gan,0.9886923847686956,0.9908276165203768,0.9917502273539506,0.997867499545049,0.9989561831971511,0.9987250986570257,0.9982668207392401,1.0
clip,diffusion,0.8952956498201479,0.9404075159740456,0.9829375121570878,0.9917137056579131,0.9904402504473551,0.9808026024400834,0.9947389451728035,1.0
clip,forensynths_test,0.8367230529359676,0.8916237348083172,0.8904801187366465,0.9687203267781304,0.9853422266621932,0.9779993199370709,0.9927664714049538,1.0
dinov2,9gan,0.8970074257991283,0.9224373422699454,0.9853561879058718,1.0,0.9983904461853502,0.9868901389792201,0.9977086879949537,0.9974986102518179
dinov2,diffusion,0.8743983532682768,0.8891345555369181,0.8429395642644705,0.8682806736942327,0.9201715162159411,0.9619322039850623,0.9925594644089757,1.0
dinov2,forensynths_test,0.7438419918124822,0.8292339298037965,0.904844593266893,0.9316279089912267,0.9688663021991571,0.9863274060727841,1.0,0.9979967424091761
mae,9gan,0.78369176079622,0.7942030575042365,0.8230646517727466,0.8539470383521661,0.8900473679290314,0.9348709961321604,0.9962212341196951,1.0
mae,diffusion,0.8113382981164743,0.7827580579074009,0.8722305070771817,0.882673523653213,0.8655637178138174,0.9783323171216443,1.0,0.9833222900526765
mae,forensynths_test,0.7593787918655253,0.7712415051783403,0.8336801013867732,0.8714492974229205,0.9020435268009892,0.955928386426806,0.9918206085819674,1.0
vit,9gan,0.8459016842284118,0.8841896936886132,0.9079093790058487,0.8784056006622829,0.9428132848891861,0.9692743060593279,1.0,0.9445003175480201
vit,diffusion,0.9408022558138095,0.9431421978168464,0.9980680653948175,1.0,0.9844315722152153,0.942641248318711,0.9299452618149147,0.9177535254716443
vit,forensynths_test,0.7803613099874607,0.8171669757584534,0.7977470693719382,0.8890877923074324,0.9223926095936917,0.9478362109242907,0.999924854776575,1.0
