model,domain,frozen_linear,frozen_mlp,gap_auc
clip,9gan,0.994,0.9939,-9.999999999998899e-05
clip,diffusion,0.8985,0.8889,-0.009599999999999942
clip,forensynths_test,0.9756,0.9796,0.0040000000000000036
dinov2,9gan,0.8586,0.8845,0.025899999999999923
dinov2,forensynths_test,0.9042,0.9314,0.027200000000000002
mae,9gan,0.8909,0.9048,0.013900000000000023
mae,diffusion,0.8742,0.8639,-0.010299999999999976
mae,forensynths_test,0.8652,0.8997,0.034500000000000086
vit,9gan,0.7446,0.7433,-0.0013000000000000789
vit,forensynths_test,0.7756,0.7966,0.02100000000000002
