model,domain1,domain2,cosine
clip,forensynths_test,forensynths_test,1.0
clip,forensynths_test,9gan,0.6902294158935547
clip,forensynths_test,diffusion,0.44002747535705566
clip,9gan,forensynths_test,0.6902294158935547
clip,9gan,9gan,1.0
clip,9gan,diffusion,0.13070763647556305
clip,diffusion,forensynths_test,0.44002747535705566
clip,diffusion,9gan,0.13070763647556305
clip,diffusion,diffusion,1.0
dinov2,forensynths_test,forensynths_test,1.0
dinov2,forensynths_test,9gan,0.6629180908203125
dinov2,forensynths_test,diffusion,0.4992745816707611
dinov2,9gan,forensynths_test,0.6629180908203125
dinov2,9gan,9gan,1.0
dinov2,9gan,diffusion,0.2730092406272888
dinov2,diffusion,forensynths_test,0.4992745816707611
dinov2,diffusion,9gan,0.2730092406272888
dinov2,diffusion,diffusion,1.0000001192092896
mae,forensynths_test,forensynths_test,1.0
mae,forensynths_test,9gan,0.5100797414779663
mae,forensynths_test,diffusion,0.42365938425064087
mae,9gan,forensynths_test,0.5100797414779663
mae,9gan,9gan,1.0000001192092896
mae,9gan,diffusion,0.19021670520305634
mae,diffusion,forensynths_test,0.42365938425064087
mae,diffusion,9gan,0.19021670520305634
mae,diffusion,diffusion,1.0
vit,forensynths_test,forensynths_test,1.0000001192092896
vit,forensynths_test,9gan,0.18703104555606842
vit,forensynths_test,diffusion,0.18482080101966858
vit,9gan,forensynths_test,0.18703104555606842
vit,9gan,9gan,1.0
vit,9gan,diffusion,0.029958704486489296
vit,diffusion,forensynths_test,0.18482080101966858
vit,diffusion,9gan,0.029958704486489296
vit,diffusion,diffusion,1.0000001192092896
