model,domain,src1,src2,cosine
clip,forensynths_test,biggan,biggan,1.0
clip,forensynths_test,biggan,cyclegan,0.8089893460273743
clip,forensynths_test,biggan,deepfake,0.4972147047519684
clip,forensynths_test,biggan,gaugan,0.8632365465164185
clip,forensynths_test,biggan,progan,0.8375580906867981
clip,forensynths_test,biggan,stargan,0.713489830493927
clip,forensynths_test,biggan,stylegan,0.6000977158546448
clip,forensynths_test,biggan,stylegan2,0.17854519188404083
clip,forensynths_test,cyclegan,biggan,0.8089893460273743
clip,forensynths_test,cyclegan,cyclegan,1.0000001192092896
clip,forensynths_test,cyclegan,deepfake,0.33310145139694214
clip,forensynths_test,cyclegan,gaugan,0.7788640856742859
clip,forensynths_test,cyclegan,progan,0.8152702450752258
clip,forensynths_test,cyclegan,stargan,0.6402737498283386
clip,forensynths_test,cyclegan,stylegan,0.5091391205787659
clip,forensynths_test,cyclegan,stylegan2,0.1335512399673462
clip,forensynths_test,deepfake,biggan,0.4972147047519684
clip,forensynths_test,deepfake,cyclegan,0.33310145139694214
clip,forensynths_test,deepfake,deepfake,1.0000001192092896
clip,forensynths_test,deepfake,gaugan,0.38347887992858887
clip,forensynths_test,deepfake,progan,0.34923967719078064
clip,forensynths_test,deepfake,stargan,0.5598748326301575
clip,forensynths_test,deepfake,stylegan,0.23035819828510284
clip,forensynths_test,deepfake,stylegan2,0.018581174314022064
clip,forensynths_test,gaugan,biggan,0.8632365465164185
clip,forensynths_test,gaugan,cyclegan,0.7788640856742859
clip,forensynths_test,gaugan,deepfake,0.38347887992858887
clip,forensynths_test,gaugan,gaugan,1.0
clip,forensynths_test,gaugan,progan,0.8601200580596924
clip,forensynths_test,gaugan,stargan,0.5144293308258057
clip,forensynths_test,gaugan,stylegan,0.5638408660888672
clip,forensynths_test,gaugan,stylegan2,0.2528746724128723
clip,forensynths_test,progan,biggan,0.8375580906867981
clip,forensynths_test,progan,cyclegan,0.8152702450752258
clip,forensynths_test,progan,deepfake,0.34923967719078064
clip,forensynths_test,progan,gaugan,0.8601200580596924
clip,forensynths_test,progan,progan,1.0
clip,forensynths_test,progan,stargan,0.5923388600349426
clip,forensynths_test,progan,stylegan,0.670131266117096
clip,forensynths_test,progan,stylegan2,0.33881333470344543
clip,forensynths_test,stargan,biggan,0.713489830493927
clip,forensynths_test,stargan,cyclegan,0.6402737498283386
clip,forensynths_test,stargan,deepfake,0.5598748326301575
clip,forensynths_test,stargan,gaugan,0.5144293308258057
clip,forensynths_test,stargan,progan,0.5923388600349426
clip,forensynths_test,stargan,stargan,1.0000001192092896
clip,forensynths_test,stargan,stylegan,0.38295039534568787
clip,forensynths_test,stargan,stylegan2,-0.004737321753054857
clip,forensynths_test,stylegan,biggan,0.6000977158546448
clip,forensynths_test,stylegan,cyclegan,0.5091391205787659
clip,forensynths_test,stylegan,deepfake,0.23035819828510284
clip,forensynths_test,stylegan,gaugan,0.5638408660888672
clip,forensynths_test,stylegan,progan,0.670131266117096
clip,forensynths_test,stylegan,stargan,0.38295039534568787
clip,forensynths_test,stylegan,stylegan,1.0
clip,forensynths_test,stylegan,stylegan2,0.6926498413085938
clip,forensynths_test,stylegan2,biggan,0.17854519188404083
clip,forensynths_test,stylegan2,cyclegan,0.1335512399673462
clip,forensynths_test,stylegan2,deepfake,0.018581174314022064
clip,forensynths_test,stylegan2,gaugan,0.2528746724128723
clip,forensynths_test,stylegan2,progan,0.33881333470344543
clip,forensynths_test,stylegan2,stargan,-0.004737321753054857
clip,forensynths_test,stylegan2,stylegan,0.6926498413085938
clip,forensynths_test,stylegan2,stylegan2,1.0000001192092896
clip,9gan,attgan,attgan,1.0000001192092896
clip,9gan,attgan,began,0.785430908203125
clip,9gan,attgan,cramergan,0.8797782063484192
clip,9gan,attgan,infomaxgan,0.9025200605392456
clip,9gan,attgan,mmdgan,0.9051617980003357
clip,9gan,attgan,relgan,0.9511515498161316
clip,9gan,attgan,s3gan,0.45730316638946533
clip,9gan,attgan,sngan,0.921694815158844
clip,9gan,attgan,stgan,0.8687300086021423
clip,9gan,began,attgan,0.785430908203125
clip,9gan,began,began,1.0
clip,9gan,began,cramergan,0.8680853843688965
clip,9gan,began,infomaxgan,0.8817871809005737
clip,9gan,began,mmdgan,0.88099604845047
clip,9gan,began,relgan,0.7687976956367493
clip,9gan,began,s3gan,0.3471658229827881
clip,9gan,began,sngan,0.8694730997085571
clip,9gan,began,stgan,0.8409720659255981
clip,9gan,cramergan,attgan,0.8797782063484192
clip,9gan,cramergan,began,0.8680853843688965
clip,9gan,cramergan,cramergan,1.0
clip,9gan,cramergan,infomaxgan,0.9549086689949036
clip,9gan,cramergan,mmdgan,0.9902448058128357
clip,9gan,cramergan,relgan,0.8825200796127319
clip,9gan,cramergan,s3gan,0.4494377672672272
clip,9gan,cramergan,sngan,0.9527713656425476
clip,9gan,cramergan,stgan,0.8965257406234741
clip,9gan,infomaxgan,attgan,0.9025200605392456
clip,9gan,infomaxgan,began,0.8817871809005737
clip,9gan,infomaxgan,cramergan,0.9549086689949036
clip,9gan,infomaxgan,infomaxgan,1.0000001192092896
clip,9gan,infomaxgan,mmdgan,0.9679397344589233
clip,9gan,infomaxgan,relgan,0.8905738592147827
clip,9gan,infomaxgan,s3gan,0.4625444710254669
clip,9gan,infomaxgan,sngan,0.9631791114807129
clip,9gan,infomaxgan,stgan,0.8950223326683044
clip,9gan,mmdgan,attgan,0.9051617980003357
clip,9gan,mmdgan,began,0.88099604845047
clip,9gan,mmdgan,cramergan,0.9902448058128357
clip,9gan,mmdgan,infomaxgan,0.9679397344589233
