model,protocol,domain,file,macro_acc,macro_bestacc,macro_auc,macro_ap,weighted_images,weighted_acc,weighted_auc,weighted_ap
clip,lora,forensynths_test,test_clip_detailed_20251212_001(clip_lora_linear_test).log,0.9406,0.9761,0.9928,0.9933,62003,0.9219,0.9934,0.994
clip,lora,9gan,test_clip_detailed_20251212_002(clip_lora_linear_9gan).log,0.9639,0.9898,0.9977,0.9979,36000,0.9639,0.9977,0.9979
clip,lora,diffusion,test_clip_detailed_20251212_003(clip_lora_linear_univer).log,0.8302,0.9369,0.9778,0.9795,16000,0.8303,0.9778,0.9795
clip,lora,forensynths_test,test_clip_detailed_20251212_061647（clip_lora_mlp_test).log,0.9302,0.9688,0.9869,0.9884,62003,0.9246,0.9892,0.9904
clip,lora,9gan,test_clip_detailed_20251212_101354(clip_lora_mlp_9gan).log,0.9811,0.9898,0.9968,0.9977,36000,0.9811,0.9968,0.9977
clip,lora,diffusion,test_clip_detailed_20251212_104557(clip_lora_mlp_univer).log,0.7451,0.9036,0.9546,0.9616,16000,0.7451,0.9546,0.9616
clip,lora,forensynths_test,test_clip_detailed_20251212_104558(lora+transmlp+test.log,0.9228,0.9647,0.984,0.9843,62003,0.923,0.9861,0.9868
clip,lora,9gan,test_clip_detailed_20251212_104559(lora+transmlp+9gan).log,0.9791,0.9872,0.9937,0.9957,36000,0.9791,0.9937,0.9957
clip,lora,diffusion,test_clip_detailed_20251212_104560(clip_lora_transmlp_univer).log,0.8149,0.8731,0.9172,0.935,16000,0.8149,0.9172,0.935
clip,alllora,forensynths_test,test_clip_detailed_20251226_062804(clip_alllora_linearhead test).log,0.8619,0.9352,0.9711,0.9722,62003,0.8638,0.9761,0.9766
clip,alllora,9gan,test_clip_detailed_20251226_064901(clip_alllora_linearhead 9gan).log,0.9492,0.9704,0.9876,0.987,36000,0.9492,0.9876,0.987
clip,alllora,diffusion,test_clip_detailed_20251226_070747.(clip_alllora_linear univer).log,0.7794,0.9047,0.9538,0.9523,16000,0.7794,0.9538,0.9523
clip,alllora,forensynths_test,test_clip_detailed_20251226_075006(clip_alllora_mlp head+test).log,0.8992,0.9621,0.9852,0.9867,62003,0.8963,0.9891,0.9902
